race_id,race_year,race_name,race_date,circuit_location,driver_id,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,file_date,created_date
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,854,Mick Schumacher,null,German,Haas F1 Team,18,38,\N,0,16,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,847,George Russell,63,British,Williams,15,40,\N,0,14,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,844,Charles Leclerc,16,Monegasque,Ferrari,4,39,+59.090,8,6,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,817,Daniel Ricciardo,3,Australian,McLaren,6,36,+66.004,6,7,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,853,Nikita Mazepin,null,Russian,Haas F1 Team,19,null,\N,0,null,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,846,Lando Norris,4,British,McLaren,7,38,+46.466,12,4,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,849,Nicholas Latifi,6,Canadian,Williams,17,16,\N,0,18,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,830,Max Verstappen,33,Dutch,Red Bull,1,41,+0.745,18,2,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,852,Yuki Tsunoda,null,Japanese,AlphaTauri,13,38,+85.692,2,9,2021-03-28,2026-02-23T19:09:56.447842Z
1052,2021,Bahrain Grand Prix,2021-03-28T15:00:00Z,Sakhir,1,Lewis Hamilton,44,British,Mercedes,2,44,1:32:03.897,25,1,2021-03-28,2026-02-23T19:09:56.447842Z
